"","Latitude","Longitude"
"1",33.28416,-111.84908
"2",33.39609,-112.01829
"3",33.21589,-111.67752
"4",33.43954,-111.887
"5",33.61716,-112.17832
"6",33.3984,-112.14319
"7",33.54714,-112.15802
"8",33.38904,-112.32095
"9",33.30149,-111.928
"10",33.41666,-111.83235
"11",33.44813,-111.95119
"12",33.37428,-111.70938
"13",33.28464,-111.74667
"14",33.21941,-111.81067
"15",33.48354,-112.08065
"16",33.65932,-111.98791
"17",33.21941,-111.81067
"18",33.6005,-111.70877
"19",33.23928,-111.70921
"20",33.34164,-111.8012
"21",33.36729,-111.83292
"22",33.39103,-112.29324
"23",33.44056,-111.83172
"24",33.44661,-111.96973
"25",33.54714,-112.15802
"26",33.35828,-111.66084
"27",33.4586,-111.82754
"28",33.27309,-111.82616
"29",33.29872,-111.90364
"30",33.36634,-111.91861
"31",33.41173,-112.07419
"32",33.41666,-111.83235
"33",33.44779,-111.94755
"34",33.61685,-111.86581
"35",33.54574,-112.05731
"36",33.35808,-111.69249
"37",33.43954,-111.887
"38",33.47756,-112.33534
"39",33.30149,-111.928
"40",33.68894,-112.22941
"41",33.25471,-111.73212
"42",33.2848,-111.71053
"43",33.35609,-111.64165
"44",33.39928,-111.93305
"45",33.437,-111.90618
"46",33.43954,-111.887
"47",33.44014,-111.88678
"48",33.64556,-111.95066
"49",33.34042,-111.74548
"50",33.35828,-111.66084
"51",33.37428,-111.70938
"52",33.44418,-111.95116
"53",33.5995,-112.24527
"54",33.44251,-111.93198
"55",33.60449,-111.95124
"56",33.30149,-111.928
"57",33.37126,-112.09192
"58",33.38948,-111.84886
"59",33.44403,-111.70754
"60",33.39877,-112.17729
"61",33.31295,-111.88507
"62",33.39822,-112.32979
"63",33.67513,-112.26405
"64",33.39349,-112.25472
"65",33.45764,-111.81369
"66",33.38904,-112.32095
"67",33.3984,-112.14319
"68",33.43954,-111.887
"69",33.60225,-112.12748
"70",33.29824,-111.74473
"71",33.38839,-112.33212
"72",33.74034,-112.43419
"73",33.39468,-112.30306
"74",33.6042,-111.97021
"75",33.44008,-111.88892
"76",33.47756,-112.33534
"77",33.38767,-111.76274
"78",33.42753,-111.86111
"79",33.38776,-111.82833
"80",33.44418,-111.95116
"81",33.65845,-112.30016
"82",33.54714,-112.15802
"83",33.32827,-111.79739
"84",33.38854,-111.78039
"85",33.60225,-112.12748
"86",33.38969,-111.73099
"87",33.6005,-111.70877
"88",33.35609,-111.64165
"89",33.41046,-112.26365
"90",33.42124,-112.0072
"91",33.48656,-112.19476
"92",33.62818,-112.22881
"93",33.36557,-111.95485
"94",33.437,-111.90618
"95",33.44014,-111.88678
"96",33.32414,-111.95443
"97",33.35781,-111.7132
"98",33.36906,-111.64662
"99",33.37428,-111.70938
"100",33.39877,-112.17729
"101",33.41743,-111.84456
"102",33.44794,-111.94876
"103",33.54388,-112.04029
"104",33.57671,-111.92011
"105",33.65902,-112.16163
"106",33.35668,-111.78067
"107",33.29824,-111.74473
"108",33.35607,-111.88658
"109",33.48354,-112.08065
"110",33.29387,-112.06327
"111",33.32372,-111.73316
"112",33.64788,-112.00901
"113",33.34164,-111.8012
"114",33.37151,-111.903
"115",33.61849,-112.00309
"116",33.4275,-112.12678
"117",33.43954,-111.887
"118",33.48656,-112.19476
"119",33.32753,-111.77873
"120",33.35629,-111.79885
"121",33.36729,-111.83292
"122",33.37428,-111.70938
"123",33.44626,-112.0107
"124",33.53121,-112.16176
"125",33.58593,-112.12455
"126",33.62952,-112.17634
"127",33.36935,-112.19638
"128",33.3984,-112.14319
"129",33.55949,-112.12714
"130",33.57374,-112.15945
"131",33.65845,-112.30016
"132",33.24107,-111.62439
"133",33.31492,-111.95344
"134",33.38948,-111.84886
"135",33.44813,-111.95119
"136",33.57685,-111.93559
"137",33.61574,-112.1259
"138",33.32844,-111.59024
"139",33.38948,-111.84886
"140",33.41244,-111.81256
"141",33.65902,-112.16163
"142",33.29824,-111.74473
"143",33.31316,-111.7463
"144",33.38969,-111.73099
"145",33.39905,-111.67697
"146",33.44198,-112.31524
"147",33.51962,-112.28989
"148",33.63068,-112.1426
"149",33.67665,-112.12859
"150",33.21184,-111.69439
"151",33.41394,-111.70928
"152",33.34164,-111.8012
"153",33.36557,-111.95485
"154",33.39553,-111.62134
"155",33.4127,-112.21132
"156",33.4275,-112.12678
"157",33.44014,-111.88678
"158",33.45731,-112.0733
"159",33.47304,-112.15909
"160",33.51905,-112.05906
"161",33.53151,-112.21073
"162",33.2848,-111.71053
"163",33.35711,-111.81658
"164",33.42753,-111.86111
"165",33.44008,-111.88892
"166",33.4431,-111.84087
"167",33.25644,-111.67797
"168",33.32753,-111.77873
"169",33.35629,-111.79885
"170",33.36935,-112.19638
"171",33.38494,-111.81246
"172",33.39571,-112.30813
"173",33.44251,-111.93198
"174",33.45811,-112.02128
"175",33.48509,-111.95283
"176",33.53121,-112.16177
"177",33.54564,-112.14203
"178",33.57685,-111.93559
"179",33.58732,-112.11172
"180",33.60341,-112.10837
"181",33.60452,-111.88247
"182",33.62693,-112.43478
"183",33.65845,-112.30016
"184",33.35629,-111.79885
"185",33.54714,-112.15802
"186",33.65794,-112.1253
"187",33.38673,-112.03903
"188",33.5023,-112.09336
"189",33.35744,-111.74466
"190",33.37126,-112.09192
"191",33.41034,-112.08401
"192",33.43037,-112.23318
"193",33.60225,-112.12748
"194",33.65996,-112.08923
"195",33.74034,-112.43419
"196",33.29443,-111.98894
"197",33.30725,-111.94536
"198",33.38742,-111.74699
"199",33.39886,-111.76189
"200",33.42683,-111.70968
"201",33.44247,-111.77957
"202",33.50126,-112.28054
"203",33.68895,-112.2811
"204",33.2118,-111.7117
"205",33.22677,-111.67741
"206",33.31328,-111.86787
"207",33.47179,-111.77714
"208",33.66202,-112.06994
"209",33.2848,-111.71053
"210",33.38264,-111.95141
"211",33.3966,-111.60589
"212",33.42902,-111.84757
"213",33.4586,-111.82754
"214",33.38366,-112.20872
"215",33.4,-112.10982
"216",33.41538,-111.93387
"217",33.437,-111.90618
"218",33.4401,-111.88799
"219",33.44537,-111.81467
"220",33.57518,-112.00882
"221",33.6037,-112.00329
"222",33.30851,-112.02904
"223",33.35781,-111.7132
"224",33.36906,-111.64662
"225",33.37428,-111.70938
"226",33.44418,-111.95116
"227",33.48509,-111.95283
"228",33.53229,-112.14207
"229",33.54714,-112.15802
"230",33.57374,-112.15945
"231",33.59356,-112.33806
"232",33.60341,-112.10837
"233",33.23928,-111.70921
"234",33.36965,-111.88641
"235",33.37226,-111.79936
"236",33.40404,-111.83659
"237",33.61615,-112.19589
"238",33.62693,-112.43478
"239",33.66203,-112.14653
"240",33.68973,-112.12462
"241",33.29872,-111.90364
"242",33.36634,-111.91861
"243",33.39731,-111.84987
"244",33.42783,-112.05671
"245",33.54388,-112.04029
"246",33.30149,-111.928
"247",33.32827,-111.79739
"248",33.38641,-111.91748
"249",33.41085,-111.78442
"250",33.47419,-112.11027
"251",33.55741,-112.10935
"252",33.60115,-111.93393
"253",33.26602,-111.76624
"254",33.29824,-111.74473
"255",33.34137,-111.88125
"256",33.38819,-111.7109
"257",33.47646,-111.93924
"258",33.50401,-111.91316
"259",33.67665,-112.12859
"260",33.3432,-111.76465
"261",33.38969,-111.73099
"262",33.44198,-112.31524
"263",33.53054,-112.07213
"264",33.28355,-111.81524
"265",33.32827,-111.79739
"266",33.35754,-111.73002
"267",33.41046,-112.26365
"268",33.42902,-111.84757
"269",33.43914,-111.89197
"270",33.58405,-112.05849
"271",33.63019,-112.02445
"272",33.32698,-111.69548
"273",33.38366,-112.20872
"274",33.41559,-112.17524
"275",33.44008,-111.88892
"276",33.44341,-111.88081
"277",33.48656,-112.19476
"278",33.60333,-112.0919
"279",33.61557,-112.09013
"280",33.63253,-112.00484
"281",33.64804,-111.96786
"282",33.65902,-112.16163
"283",33.34283,-111.91686
"284",33.36634,-111.91861
"285",33.37216,-111.7483
"286",33.38904,-112.32095
"287",33.44418,-111.95116
"288",33.45674,-111.76963
"289",33.54579,-112.12536
"290",33.63306,-111.94998
"291",33.71748,-112.14603
"292",33.30149,-111.928
"293",33.3592,-111.73798
"294",33.38189,-112.17404
"295",33.38776,-111.82833
"296",33.44626,-112.0107
"297",33.55949,-112.12714
"298",33.60449,-111.95124
"299",33.61932,-111.9666
"300",33.67137,-112.24609
"301",33.21089,-111.74381
"302",33.34177,-111.93968
"303",33.39731,-111.84987
"304",33.39917,-111.77857
"305",33.41143,-112.0399
"306",33.42783,-112.05671
"307",33.43114,-111.74398
"308",33.44779,-111.94755
"309",33.45741,-112.20735
"310",33.46893,-112.29691
"311",33.54388,-112.04029
"312",33.55797,-112.08867
"313",33.58967,-111.8779
"314",33.66019,-112.02049
